date,India,France,Africa,US,China,UK,Red Cross,GOP,WHO,UN,left wing,right wing,communist,socialist,republican(US),democrat(US),labour(UK),conservative(UK),ICU,vaccination,maoist,christian,muslim,islamic,ministry of justice,ministry of health,senate,congress,woman,rebel,native,prime minister,chief,mayor,Xi Jinping,Donald Trump,Joe Biden,Emmanuel Macron,Narendra Modi,Vladimir Putin,global health,public health,one health,decolonization in health policy,decolonization
201304,0,0.03125,0.081081081,0.0375,0.060606061,0.380952381,0.307692308,0.142857143,0.125,0.428571429,0.333333333,0.333333333,0.482142857,0.235294118,0.032258065,0.032258065,0.064516129,0.075949367,0.025316456,0.020408163,0.078431373,0.615384615,0.090909091,0.111111111,1,0,0.063829787,0.275862069,0,0.285714286,0.095890411,0,0.5,0.2,0.040816327,0.005025126,0,0,0.010309278,0.010309278,0.169014085,0.178082192,0.034090909,0,0.03293623
201305,0.133333333,0.078125,0.054054054,0.0375,0.015151515,0.380952381,0.461538462,0.120879121,0.125,0.380952381,0.166666667,0.111111111,0.375,0.117647059,0.010752688,0.010752688,0.032258065,0.050632911,0.025316456,0,0.843137255,0.538461538,0.181818182,0.222222222,0.837209302,0,0.042553191,0.206896552,0.04,0.142857143,0.082191781,0,0.5,0.333333333,0.020408163,0.005025126,0,0,0,0,0.056338028,0.164383562,0.011363636,0,0.023826209
201306,0.244444444,0.09375,0,0.025,0,0.333333333,0.307692308,0.131868132,0.053571429,0.285714286,0,0,0.196428571,0.058823529,0.021505376,0.021505376,0.021505376,0.025316456,0.012658228,0.020408163,0.392156863,0.5,0.090909091,0.222222222,0.651162791,0,0.042553191,0.137931034,0.04,0.142857143,0.04109589,0,0.5,0.133333333,0.081632653,0,0,0,0.020618557,0.041237113,0,0.123287671,0.022727273,0,0.081289418
201307,0.177777778,0.234375,0.027027027,0.0125,0,0.380952381,0.230769231,0.10989011,0.035714286,0.166666667,0,0,0,0,0.010752688,0.010752688,0.021505376,0,0.012658228,0,0.156862745,0.692307692,0.454545455,0.555555556,0.813953488,0,0.010638298,0.137931034,0.08,0.142857143,0,0,0.5,0.133333333,0.010204082,0,0,0,0.030927835,0,0.070422535,0.136986301,0.034090909,0,0.126138753
201308,0.311111111,0.015625,0.135135135,0.025,0.03030303,0.476190476,0.153846154,0.120879121,0.107142857,0.238095238,0.166666667,0.111111111,0.053571429,0,0.010752688,0.010752688,0.021505376,0,0.012658228,0,0.098039216,0.769230769,0.272727273,0.222222222,0.627906977,0,0,0.103448276,0.08,0.142857143,0.068493151,0,0.5,0.2,0,0,0,0,0.041237113,0.010309278,0.098591549,0.164383562,0.034090909,0,0.204625088
201309,0.155555556,0.03125,0.243243243,0.0375,0.03030303,0.380952381,0.153846154,0.153846154,0.107142857,0.5,0.166666667,0.111111111,0.178571429,0.117647059,0.032258065,0.032258065,0.096774194,0.050632911,0.025316456,0,0.117647059,0.692307692,0.181818182,0.222222222,0.604651163,0,0.074468085,0.413793103,0,0.142857143,0.136986301,0.111111111,0.5,0.266666667,0.020408163,0,0,0,0.092783505,0.041237113,0.211267606,0.205479452,0.022727273,0,0.134548003
201310,0.111111111,0.015625,0.243243243,0.0625,0.045454545,0.476190476,0.153846154,0.252747253,0.107142857,0.595238095,0.333333333,0.222222222,0.285714286,0.176470588,0.139784946,0.139784946,0.043010753,0.063291139,0.063291139,0.020408163,0.196078431,0.692307692,0.181818182,0.222222222,0.720930233,0,0.085106383,0.689655172,0.06,0.142857143,0.219178082,0,0.5,0.266666667,0.020408163,0,0,0,0.051546392,0,0.154929577,0.191780822,0.079545455,0,0.203924317
201311,0.044444444,0.046875,0.243243243,0.025,0.03030303,0.380952381,0.461538462,0.153846154,0.178571429,0.333333333,0.166666667,0.111111111,0.285714286,0.176470588,0.043010753,0.043010753,0.021505376,0.037974684,0.025316456,0.020408163,0.941176471,0.576923077,0,0.222222222,0.534883721,0,0.031914894,0.275862069,0.04,0.142857143,0.191780822,0,0.333333333,0.533333333,0.020408163,0,0,0,0.051546392,0,0.169014085,0.164383562,0,0,0.147161878
201312,0.222222222,0.03125,0.108108108,0.0125,0.03030303,0.333333333,0.153846154,0.153846154,0.232142857,0.19047619,0.166666667,0.111111111,0.25,0.117647059,0.021505376,0.021505376,0,0.012658228,0,0,0.215686275,0.692307692,0.090909091,0.222222222,0.441860465,0,0.010638298,0.24137931,0.18,0.285714286,0.01369863,0.333333333,0.333333333,0.066666667,0.020408163,0,0,0,0.051546392,0.020618557,0.056338028,0.068493151,0.011363636,0,0.120532586
201401,0.2,0.046875,0.243243243,0.025,0.045454545,0.428571429,0.153846154,0.175824176,0.142857143,0.261904762,0.166666667,0,0.232142857,0.117647059,0.053763441,0.053763441,0.021505376,0.025316456,0.037974684,0.020408163,0.098039216,0.807692308,0.090909091,0.222222222,0.744186047,0,0.021276596,0.344827586,0.22,0.142857143,0.02739726,0.333333333,0.333333333,0.133333333,0.020408163,0,0,0,0.051546392,0.010309278,0.211267606,0.150684932,0.056818182,0,0.128241065
